BL,Nom Commercial,concerned products,Managed by Orange Business ?,Vendor 1,Vendor 2,Vendor 3
Communication Services,Business Ethernet Série 2,Ethernet WAN Solution (Layer 2),Yes,Atrica,RAD, 
Communication Services,Business Together Avaya by OCWS,Voice telephony as a Service,Yes,Avaya,, 
Communication Services,Business Together Mitel,Voice telephony as a Service,Yes,Mitel,, 
Communication Services,Business Together Alcatel,Voice telephony as a Service,Yes,Alcatel,, 
Communication Services,Business Together Cisco,Voice telephony as a Service,Yes,Cisco,, 
Communication Services,Business VPN ,MPLS WAN Solution (Layer 3),Yes,OneAccess (France),Cisco, 
Communication Services,Business VPN Galerie,Core Network connectivity to CSP,Yes,,, 
Communication Services,Business VPN Internet,Core Network Internet Connectivity,Yes,,, 
Communication Services,Audio et Web Conferencing with Cisco Webex,Online Conferencing Tool,Yes,Cisco,, 
Communication Services,Contact 365,Contact Center ,Yes,Microsoft,, 
Communication Services,Fax Direct,In mail Fax solution,Yes,,, 
Communication Services,Flexible Contact Center,Contact Center,Yes,Enghouse/Amazon,, 
Communication Services,Flexible 365,Microsoft 365 offer,Yes,Microsoft,, 
Communication Services,Flexible Internet,Internet WAN Solution,Yes,OneAccess (France),Cisco, 
Communication Services,Flexible LAN,LAN solution,No,HP,Cisco,Huawei 
Communication Services,Flexible SD-WAN,SDWAN Managed Solution,Yes,Cisco Viptela,Fortinet,Velocloud 
Communication Services,Flexible SD-Branch,Meraki Managed Solution,Yes,Cisco Meraki,, 
Communication Services,SD-WAN express (OCWS),SDWAN Integrated Solution,No,Any,, 
Communication Services,Guide Vocal,Interactive Voice server Solution,Yes,,, 
Communication Services,Integrated Contact Center,Contact Center Solution,No,Any,, 
Communication Services,Managed Voice Portal,Interactive Voice server Solution,Yes,,, 
Communication Services,Mon Réseau Local,LAN solution (Small Branches),Yes,Alcatel,Huawei, 
Communication Services,Open Videopresence Equipment,Visio conference Equipments,Yes / No,Polycom,Microsoft, 
Communication Services,Open Videopresence Management,Visio conference solution,Yes,,, 
Communication Services,Rainbow,UCaaS solution,Yes,Microsoft,, 
Communication Services,"""Reliable access + GTR""",?,?,,, 
Communication Services,Business VPN Satellite,MPLS Satellite WAN Solution,Yes,SES,Starlink, 
Communication Services,Unified Engagement Suite - Genesys,Contact Center,Yes / No,Genesys,, 
Communication Services,Unified Engagement Suite - Nice CXOne,Contact Center,Yes / No,Nice CXOne,, 
Communication Services,Direct Routing Opéré,Managed SBC - Telephony,Yes,Cisco,Microsoft, 
Communication Services,Teaming Call,IP Telephony,Yes,Cisco,Microsoft, 
Communication Services,Teaming Meet,Video Call,Yes,Cisco,Microsoft, 
Communication Services,Business Talk IP,VoIP solution,Yes,,, 
Communication Services,Business Voix Basic,VoIP solution,Yes,,, 
Communication Services,Business Voix et Collaboration,ToIP solution,Yes,,, 
Communication Services,Ligne Fixe Business,Fixed Line (FTTH Telephony),Yes,,, 
Communication Services,Working Together Microsoft,UCaaS solution,Yes,Microsoft,, 
Communication Services,Workplace Together Webex,UCaaS solution,Yes,Cisco,, 
Communication Services,Raccordement Sécurisé,Full Path Diversity WAN Solution,Yes,,, 
Communication Services,Worksforce Engagement Suite,CCaaS solution,Yes,Genesys,, 
Communication Services,Virtual Agent,?,NA,,, 
Communication Services,Offres Avantages Monosite,Not an actual offer - option,NA,,, 
Communication Services,Offres Avantages Monétique,Not an actual offer - option,NA,,, 
Communication Services,Offres Avantages DOM,Not an actual offer - option,NA,,, 
Communication Services,Offres Avantages multisites,Not an actual offer - option,NA,,, 
Communication Services,Offres Avantages DOM mobiles,Not an actual offer - option,NA,,, 
Communication Services,"Numéro vert international, Numéro vert universel",Green numbers,Yes,,, 
Communication Services,Business Voix Basic Multi Ligne Fixe Business,IP Telephony,Yes,,, 
Communication Services,Application Visibility,Application Monitoring,Yes,ThousandEyes,, 
Communication Services,Visibility as a Service,Application Monitoring,Yes,ThousandEyes,, 
Communication Services,Mon Conseiller dédié,Customer Service solution,Yes,,, 
Communication Services,Ecosystème des solutions de téléphonie et de collaboration EIC ,Not an actual offer,NA,,, 
Communication Services,Callbot,Callbot solution for CC,Yes,,, 
Communication Services,Collecte de Téléphonie,Not an actual offer,NA,,, 
Communication Services,Site THD2 (Très Haute Disponibilité),New buildings connectivity,No,,, 
Communication Services,Flexible LAN Standard,LAN solution,No,Cisco,HP,Huawei 
Communication Services,IP Transit,Tier 1 Internet Solution,Yes,,, 
Communication Services,Integrated Access,MPLS / Internet solution within Ethernet Access,Yes,Cisco,OneAccess, 
Communication Services,KomZot Pro,Mobile Solution - La Réunion,Yes,,, 
Communication Services,L'Illimité PME,Pro/PME Mobile solution,Yes,,, 
Communication Services,Numéros Contact IP (NCIP),"""Colored numbers"" solution",Yes,,, 
Communication Services,Pack ID,Badges Smartphone solution,NA,,, 
Communication Services,Pass Projets,Professional Services,NA,,, 
Communication Services,Service Client Conseil Réseau,Professional Services,NA,,, 
Communication Services,Gouvernance Contrats et Services,Professional Services,NA,,, 
Communication Services,Service Client Conseil SD-WAN,Professional Services,NA,,, 
Communication Services,Facture synthétique,Billing,NA,,, 
Communication Services,Facture électronique,Billing,NA,,, 
Communication Services,Facture dynamique,Billing,NA,,, 
Communication Services,Service Accompagnement,Professional Services,NA,,, 
Communication Services,Customer Success Management,Professional Services,NA,,, 
Communication Services,Service Client Conseil Voix,Professional Services,NA,,, 
Communication Services,Diagnostic Fibre,Professional Services,NA,,, 
Communication Services,Communication du Nouveau Numéro Entreprise,Not an actual offer - option,NA,,, 
Communication Services,Multi-Sourcing Integration,MSI solution,Yes,Service Now,, 
Communication Services,Supervision Watch,Network supervision | AIOps,Yes,,, 
Communication Services,Service Gestion,Not an actual offer - option,Yes,,, 
Communication Services,"Guichet Unique SAV - Accueil, Smart, Premium",Professional Services,NA,,, 
Communication Services,Etude Raccordement,Professional Services,NA,,, 
Communication Services,Service Client Conseil Visio,Professional Services,NA,,, 
Communication Services,Service Client Conseil Multiservices,Professional Services,NA,,, 
Communication Services,Technical Management,Professional Services,NA,,, 
Communication Services,Prestation d'Expertise & Conseil (PEC),Professional Services,NA,,, 
Communication Services,Deployment Services,Professional Services,NA,,, 
Digital Services,Cloud Avenue,IaaS / PaaS solution,Yes,,, 
Digital Services,Cloud Expert Services,Professional Services,NA,,, 
Digital Services,Flexible Housing,IT solution housing within Orange DC,No,,, 
Digital Services,Contact Everyone,SMS Broadcast solution,Yes,,, 
Digital Services,Facilities Now,Digital Portal within Enterprise intranet,No,,, 
Digital Services,File & Application Backup,File & Application Backup,Yes,,, 
Digital Services,Flexible Engine,IaaS solution,Yes,Huawei,, 
Digital Services,Flexible Recovery (by Nuabee),Backup solution,Yes,Nuabee,, 
Digital Services,Flexible Workspace User Experience (AVD),Windows 10 desktop virtualization ,Yes,Microsoft,, 
Digital Services,Flexible Workspace User Experience (Citrix),Virtualization,Yes,Citrix,, 
Digital Services,Flux vision,Mobile Solution,Yes,,, 
Digital Services,Live Identity,Mobile ID,Yes,,, 
Digital Services,Ma ville dans ma poche,Smartphone application,NA,,, 
Digital Services,Managed Applications,Cloud App Management,Yes,,, 
Digital Services,Managed Big Data,Cloud Data Management,Yes,,, 
Digital Services,Managed Applications pour SAP®,Cloud SAP Management,Yes,,, 
Digital Services,Managed Computer Vision,Cloud Management,Yes,,, 
Digital Services,Multicloud Ready,MultiCloud Solution Management,Yes,,, 
Digital Services,Nom de domaine,Cloud Solution,Yes,,, 
Digital Services,Payment Services,Payment Management Solution,Yes,,, 
Digital Services,Private Cloud solutions,Private Cloud Solution,No,Dell,HP,NetApp / Huawei 
Digital Services,Flexible Safety,Firewall as a Service,Yes,Fortinet,, 
Digital Services,EDI - Atlas,EDI Solution,Yes,,, 
Digital Services,Flexible Web Platform,PaaS solution,Yes,,, 
Digital Services,Sport & Live Event,Orange Event Solutions,Yes,,, 
Digital Services,Corporate e-Invoicing,Billing,Yes,,, 
Digital Services,Hub EDI,EDI Solution,Yes,,, 
Smart Mobility Services,Affichage Interactif,CDN Solution,Yes,,, 
Smart Mobility Services,Agendize,Mobile Business App,NA,,, 
Smart Mobility Services,API for Business / API Mobile,Mobile Business App,NA,,, 
Smart Mobility Services,Apps pour s'informer et se divertir ,Mobile Business App,NA,,, 
Smart Mobility Services,Assistance Gestionnaire Dédiée,Professional Services,NA,,, 
Smart Mobility Services,Barring SMS Filtrant,Mobile Solution,Yes,,, 
Smart Mobility Services,Business Everywhere,4G/5G router,Yes,,, 
Smart Mobility Services,Computer Vision OSM feature,IoT,Yes,,, 
Smart Mobility Services,Couverture Indoor Mobile,Indoor Mobile Solution,Yes,Nokia,Ericsson, 
Smart Mobility Services,Cyber SIM,Mobile Solution,Yes,,, 
Smart Mobility Services,Cyberfiltre ,Mobile Solution,Yes,,, 
Smart Mobility Services,Débit Confort,Mobile Solution,Yes,,, 
Smart Mobility Services,Déploiement Flotte Mobile,Professional Services,Yes,,, 
Smart Mobility Services,Device Management Express (DME),Mobile Device Management solution,Yes,MobileIron,VMWare, 
Smart Mobility Services,Digital Mobility Management (D2M),Mobile Device Management solution,Yes,MobileIron,VMWare, 
Smart Mobility Services,eSIM ,Mobile Solution,Yes,,, 
Smart Mobility Services,eSIM Watch ,Mobile Solution,Yes,,, 
