Signed Order Revenue,Existing Product,Contract Duration,Product Line,Access Fee,Previous Fee,New Fee,Quantity,Corrected Annual Revenue
MKEA LOGISTICS,,12 Months,Integration Services,"3,320,706",0,0,1,"3,320,706"
IAAS (Infrastructure as a Service),,12 Months,Cloud,0,0,"52,550",1,"630,600"
ACHAT BOITIER Fleet pro + REDEVANCE MENSUELLE 9MIL,,12 Months,Integration Sales,"150,000",0,"9,000",2,"366,000"
INFRASTRUCTURE AS A SERVICE ( AWS WAVELENGHT),,36 Months,Cloud,"200,000",0,"65,790",1,"989,480"
INFRASTRUCTURE AS A SERVICE ( AWS WAVELENGHT),,36 Months,Cloud,0,0,"23,456",1,"281,472"
ACQUISITION LICENCE 365 BASIC ET STANDARD PAR ECHELONNEMENT SUR 12 MOIS,,12 Months,Cloud,"200,000",0,"8,481",1,"301,772"
IAAS (INFRASTRUCTURE AS A SERVICE),,36 Months,Cloud,0,0,"27,518",1,"330,216"
NA HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
AWS,,36 Months,Cloud,"200,000",0,"18,852",1,"426,224"
FIDUCIA\_Flex Jokko,FLEX JOKKO\_Pack Talk,12 Months,Cloud,"10,000",0,"5,900",1,"80,800"
Contrat de maintenance système téléphonie,,12 Months,Integration Services,"220,000",0,0,1,"220,000"
SERVEUR VIRTUEL,Serveur Virtuel TE.01,12 Months,Cloud,0,0,"26,314",1,"315,768"
LICENCE AUTOCAD,,12 Months,Integration Services,"12,864,027",0,0,11,"12,864,027"
FIBRE IMMO / PACK MEDIUM,Fibre Immo \_Pack Medium\_7 à 12 appartements,12 Months,Integration Sales,"1,205,000",0,0,1,"1,205,000"
Pack E-business,Mon pack E-business,12 Months,Cloud,0,0,"10,169",1,"122,034"
Pack E-business,NOM DE DOMAINE SENEGAL (.SN),12 Months,Cloud,0,0,"3,500",1,"42,000"
FOURNITURE ET INSTALLATION IPBX,,12 Months,Integration Sales,"1,075,741",0,0,1,"1,075,741"
RENOUVELLEMENT DE LICENCES,,12 Months,Cloud,"139,612",0,0,2,"139,612"
Renouvellement Licence Forti,,12 Months,Integration Sales,"346,292",0,0,1,"346,292"
souscription stockage dynamic ressources,,12 Months,Cloud,0,0,"3,000",1,"36,000"
Demande extension de 4CPU et 12 Go RAM VDC SATARA,,36 Months,Cloud,0,0,"31,152",1,"373,824"
DEMANDE D'ACTIVATION DE NOM DE DOMAINE 338328315,NOM DE DOMAINE .COM et AUTRE EXTENSION (hors .sn),12 Months,Cloud,"8,475",0,883,1,"19,071"
ACQUSITIONS 75 LICENCES SUPPLEMENTAIRES,,12 Months,Cloud,"1,397,488",0,0,1,"1,397,488"
WFI LAN+CABLAGE,,12 Months,Integration Services,"1,596,577",0,0,1,"1,596,577"
10 licences adobe illustrator et signagent,,12 Months,Integration Services,"10,975,272",0,0,1,"10,975,272"
Cloud,,12 Months,Cloud,0,0,"36,000",1,"432,000"
NA HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
souscription back up as a service,,12 Months,Cloud,0,0,"52,859",1,"634,308"
MIGRATION +TRANSFERT LIGNE 338230340( NA PABX+POSTE TELEPHONIQUE+BT 2 avec FORFAIT),,12 Months,Integration Sales,"550,610",0,0,1,"550,610"
Hosting pro,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
Fourniture et installation d'un autocommutateur (système téléphonique),,12 Months,Integration Services,"2,966,440",0,0,1,"2,966,440"
Solution cloud computing,,12 Months,Cloud,"600,000",0,"324,342",1,"4,492,104"
CLOUD INVICTUS,,36 Months,Cloud,"2,000,000",0,"619,666",1,"9,435,992"
SOC INVICTUS CAPITAL FINANCE,,12 Months,Integration Services,"17,032,000",0,0,1,"17,032,000"
IAAS ( Infrastructure as a service),,12 Months,Cloud,"200,000",0,"438,034",1,"5,456,408"
SOUSCRIPTION HOSTING PRO,Webhosting Pro,12 Months,Cloud,0,0,"7,203",1,"86,441"
FLEX JOKKO PACK TALK IREA,FLEX JOKKO\_Pack Talk,12 Months,Cloud,"30,000",0,"5,900",3,"242,400"
Souscription Secure access / secure advanced +75 Mbs,Secure Advanced +75Mo,12 Months,Integration Services,0,0,"80,000",1,"960,000"
FAP 221E,,12 Months,Integration Services,"284,562",0,0,1,"284,562"
EXTENSION DE 5 BOITES MAIL DE 25G SOP0213201,,12 Months,Cloud,0,0,"10,000",1,"120,000"
FORTIGATE70 + INSTALLATION ET FORMATION,,12 Months,Integration Services,"1,333,670",0,0,1,"1,333,670"
souscription hosting pro et nom de domaine personnalisé plus augmentation capacité de stockage,,12 Months,Cloud,"8,500",0,"8,500",1,"110,500"
souscription hosting pro et nom de domaine personnalisé plus augmentation capacité de stockage,,12 Months,Cloud,"3,500",0,"3,500",1,"45,500"
souscription hosting pro et nom de domaine personnalisé plus augmentation capacité de stockage,,12 Months,Cloud,"50,000",0,"10,000",5,"650,000"
VPNSSL,,12 Months,Integration Services,0,0,"90,000",1,"1,080,000"
INFRASTRUCTURE AS A SERVICE BASE SUR OPENSTACK,,12 Months,Cloud,0,0,"63,000",1,"756,000"
acquisition nom de domaine .sn,NOM DE DOMAINE SENEGAL (.SN),12 Months,Cloud,0,0,"3,500",1,"42,000"
Rajout licences LIV-CAS-091301,,12 Months,Cloud,"71,526",0,0,1,"71,526"
LICENCES M365,,12 Months,Cloud,"1,228,032",0,0,1,"1,228,032"
CA MEDIA OFFRE MY BUSINESS WIFI,MBW\_Simply Pack\_Pack Wifi\_ 2 AP,36 Months,Integration Services,"30,000",0,"27,000",1,"354,000"
NA PACK E-BUSINESS,Mon pack E-business,12 Months,Cloud,0,0,"10,169",1,"122,034"
OSM Hébergement de machine Virtuelle Cloud,,12 Months,Cloud,0,0,0,1,0
ACTIVATION NOMS DE DOMAINE,NOM DE DOMAINE .COM et AUTRE EXTENSION (hors .sn),12 Months,Cloud,"8,475",0,883,1,"19,071"
ACTIVATION NOMS DE DOMAINE,NOM DE DOMAINE .COM et AUTRE EXTENSION (hors .sn),12 Months,Cloud,"8,475",0,883,1,"19,071"
15 LICENCES M365 STANDARD,,12 Months,Cloud,"856,487",0,0,1,"856,487"
Fourniture et installation de deux boitiers Fortigate 200F à Dakar,,12 Months,Integration Services,"18,020,363",0,0,1,"18,020,363"
